SECTOR,January,February,March,April,May,June,July,August,September,October,November,December,Year
Miami,,,,,,,,,,4,2,4,2009
New Orleans,,,,,,,,,,3,1,2,2009
Ramey,,,,,,,,,,4,0,0,2009
Blaine,,,,,,,,,,2,1,0,2009
Buffalo,,,,,,,,,,6,1,5,2009
Detroit,,,,,,,,,,2,3,3,2009
Grand Forks,,,,,,,,,,0,0,0,2009
Havre,,,,,,,,,,0,2,0,2009
Houlton,,,,,,,,,,0,0,0,2009
Spokane,,,,,,,,,,0,0,0,2009
Swanton,,,,,,,,,,0,0,0,2009
"Big Bend(formerly Marfa)",,,,,,,,,,16,8,9,2009
Del Rio,,,,,,,,,,80,80,54,2009
El Centro,,,,,,,,,,28,46,27,2009
El Paso,,,,,,,,,,83,77,64,2009
Laredo,,,,,,,,,,103,76,88,2009
"Rio Grande Valley(formerly McAllen)",,,,,,,,,,346,257,235,2009
San Diego,,,,,,,,,,88,61,64,2009
Tucson,,,,,,,,,,767,546,433,2009
Yuma,,,,,,,,,,22,20,24,2009
Coastal Border,,,,,,,,,,11,3,6,2009
Northern Border,,,,,,,,,,10,7,8,2009
Southwest Border,,,,,,,,,,1533,1171,998,2009
Monthly Total,,,,,,,,,,1554,1181,1012,2009
Miami,2,3,4,6,7,11,4,6,4,1,2,2,2010
New Orleans,3,1,4,1,4,3,0,3,3,5,1,2,2010
Ramey,0,0,0,0,0,0,0,0,0,0,0,0,2010
Blaine,1,3,1,0,0,0,4,2,0,2,0,0,2010
Buffalo,2,4,7,3,6,5,0,4,3,3,2,3,2010
Detroit,2,4,1,6,3,3,1,2,3,4,1,0,2010
Grand Forks,0,0,3,1,4,0,1,2,3,0,1,0,2010
Havre,0,0,0,0,0,0,0,1,0,2,0,0,2010
Houlton,0,0,0,0,0,0,0,0,0,0,0,0,2010
Spokane,0,0,0,0,0,1,0,1,0,0,0,0,2010
Swanton,0,0,0,1,2,0,4,2,1,0,0,0,2010
"Big Bend(formerly Marfa)",18,22,22,27,25,13,8,11,18,16,16,7,2010
Del Rio,87,106,129,114,123,75,40,58,68,63,63,61,2010
El Centro,36,52,64,43,29,28,35,29,31,31,24,25,2010
El Paso,105,102,118,111,78,90,56,76,51,43,51,65,2010
Laredo,103,103,205,209,184,148,101,148,102,91,91,76,2010
"Rio Grande Valley(formerly McAllen)",273,409,580,537,646,531,340,474,349,297,315,338,2010
San Diego,87,118,155,101,88,79,54,40,45,48,33,33,2010
Tucson,571,752,1066,879,844,660,523,501,456,496,486,394,2010
Yuma,25,31,25,18,11,11,10,13,6,12,13,12,2010
Coastal Border,5,4,8,7,11,14,4,9,7,6,3,4,2010
Northern Border,5,11,12,11,15,9,10,14,10,11,4,3,2010
Southwest Border,1305,1695,2364,2039,2028,1635,1167,1350,1126,1097,1092,1011,2010
Monthly Total,1315,1710,2384,2057,2054,1658,1181,1373,1143,1114,1099,1018,2010
Miami,9,2,3,1,2,0,3,1,1,3,2,0,2011
New Orleans,1,0,0,0,2,1,0,1,1,0,0,0,2011
Ramey,0,0,0,0,0,0,0,1,0,1,0,0,2011
Blaine,1,0,3,0,1,0,0,1,0,0,0,1,2011
Buffalo,2,2,0,1,3,3,2,2,2,0,3,1,2011
Detroit,3,4,0,1,1,0,1,1,5,2,2,0,2011
Grand Forks,0,0,2,0,3,0,1,0,0,0,0,0,2011
Havre,0,0,0,0,0,0,1,0,0,0,0,0,2011
Houlton,0,0,0,0,0,0,0,0,0,0,0,0,2011
Spokane,0,0,0,0,1,2,0,0,0,0,0,0,2011
Swanton,4,0,0,1,0,0,4,0,0,0,0,1,2011
"Big Bend(formerly Marfa)",10,12,23,21,15,17,15,20,17,9,20,18,2011
Del Rio,60,115,147,128,86,95,87,96,112,103,94,88,2011
El Centro,38,28,58,59,31,36,35,39,53,43,39,12,2011
El Paso,59,54,90,84,53,51,48,59,40,39,41,36,2011
Laredo,95,113,179,175,162,161,132,156,177,147,179,135,2011
"Rio Grande Valley(formerly McAllen)",268,387,586,589,500,459,514,514,469,596,573,448,2011
San Diego,32,54,58,64,48,51,45,47,36,33,36,29,2011
Tucson,482,525,777,587,514,430,365,419,403,472,447,462,2011
Yuma,29,22,38,11,26,13,12,10,24,23,17,31,2011
Coastal Border,10,2,3,1,4,1,3,3,2,4,2,0,2011
Northern Border,10,6,5,3,9,5,9,4,7,2,5,3,2011
Southwest Border,1073,1310,1956,1718,1435,1313,1253,1360,1331,1465,1446,1259,2011
Monthly Total,1093,1318,1964,1722,1448,1319,1265,1367,1340,1471,1453,1262,2011
Miami,1,2,1,0,2,2,3,0,2,7,2,0,2012
New Orleans,0,1,0,0,0,0,0,1,3,2,1,0,2012
Ramey,1,0,0,0,2,1,0,0,0,0,1,0,2012
Blaine,2,0,3,0,0,1,1,1,3,1,1,1,2012
Buffalo,1,2,0,2,1,0,6,0,2,0,0,0,2012
Detroit,0,1,1,2,0,0,1,1,0,0,0,1,2012
Grand Forks,0,0,0,0,1,0,1,0,0,1,0,0,2012
Havre,0,0,0,0,0,0,0,0,0,0,0,0,2012
Houlton,0,0,0,0,0,1,0,0,0,0,0,0,2012
Spokane,0,0,0,1,0,0,0,1,0,0,0,0,2012
Swanton,2,0,0,0,0,0,0,0,2,0,2,0,2012
