sector,fmua,uac,sa,total,month,year
Big Bend,17,37,501,555,Oct,2018
Del Rio,548,145,1309,2002,Oct,2018
El Centro,782,256,2204,3242,Oct,2018
El Paso,5180,830,1324,7334,Oct,2018
Laredo,121,266,3061,3448,Oct,2018
Rio Grande,11525,2306,6924,20755,Oct,2018
San Diego,1156,227,2844,4227,Oct,2018
Tucson,1163,468,4197,5828,Oct,2018
Yuma,2624,429,561,3614,Oct,2018
Southwest Border Total,23116,4964,22925,51005,Oct,2018
Big Bend,31,36,381,448,Nov,2018
Del Rio,831,146,1111,2088,Nov,2018
El Centro,914,273,2002,3189,Nov,2018
El Paso,6435,1038,1394,8867,Nov,2018
Laredo,49,180,2440,2669,Nov,2018
Rio Grande,11487,2309,6917,20713,Nov,2018
San Diego,1495,310,2772,4577,Nov,2018
Tucson,754,465,3843,5062,Nov,2018
Yuma,3168,500,576,4244,Nov,2018
Southwest Border Total,25164,5257,21436,51857,Nov,2018
Big Bend,122,74,425,621,Dec,2018
Del Rio,919,155,950,2024,Dec,2018
El Centro,1012,212,1494,2718,Dec,2018
El Paso,7336,970,1144,9450,Dec,2018
Laredo,74,148,1837,2059,Dec,2018
Rio Grande,10630,1881,5861,18372,Dec,2018
San Diego,2413,355,3048,5816,Dec,2018
Tucson,1310,408,3194,4912,Dec,2018
Yuma,3691,550,538,4779,Dec,2018
Southwest Border Total,27507,4753,18491,50751,Dec,2018
Big Bend,91,59,438,588,Jan,2019
Del Rio,1009,192,1323,2524,Jan,2019
El Centro,808,236,1417,2461,Jan,2019
El Paso,6837,1012,1288,9137,Jan,2019
Laredo,73,191,2368,2632,Jan,2019
Rio Grande,9942,2182,5589,17713,Jan,2019
San Diego,1118,283,2721,4122,Jan,2019
Tucson,670,357,3069,4096,Jan,2019
Yuma,3640,593,473,4706,Jan,2019
Southwest Border Total,24188,5105,18686,47979,Jan,2019
Big Bend,186,61,598,845,Feb,2019
Del Rio,2262,239,1512,4013,Feb,2019
El Centro,1189,336,1794,3319,Feb,2019
El Paso,10891,1522,1758,14171,Feb,2019
Laredo,61,249,2813,3123,Feb,2019
Rio Grande,14430,2910,8026,25366,Feb,2019
San Diego,2036,383,3029,5448,Feb,2019
Tucson,1024,438,3449,4911,Feb,2019
Yuma,4451,679,557,5687,Feb,2019
Southwest Border Total,36530,6817,23536,66883,Feb,2019
Big Bend,197,80,665,942,Mar,2019
Del Rio,2831,434,2298,5563,Mar,2019
El Centro,1139,299,2123,3561,Mar,2019
El Paso,16965,2184,3075,22224,Mar,2019
Laredo,106,301,3785,4192,Mar,2019
Rio Grande,20942,3714,9107,33763,Mar,2019
San Diego,2504,428,3949,6881,Mar,2019
Tucson,1824,599,4834,7257,Mar,2019
Yuma,6696,917,837,8450,Mar,2019
Southwest Border Total,53204,8956,30673,92833,Mar,2019
Big Bend,224,61,656,941,Apr,2019
Del Rio,3440,395,2013,5848,Apr,2019
El Centro,742,255,2389,3386,Apr,2019
El Paso,20636,2459,3978,27073,Apr,2019
Laredo,103,258,3614,3975,Apr,2019
Rio Grande,22895,3755,10077,36727,Apr,2019
San Diego,2106,367,3724,6197,Apr,2019
Tucson,1533,396,3992,5921,Apr,2019
Yuma,7034,934,1237,9205,Apr,2019
Southwest Border Total,58713,8880,31680,99273,Apr,2019
Big Bend,732,115,710,1557,Jun,2019
Del Rio,5272,568,2723,8563,Jun,2019
El Centro,576,242,2664,3482,Jun,2019
El Paso,29809,3255,5573,38637,Jun,2019
Laredo,110,265,3740,4115,Jun,2019
Rio Grande,33933,4867,11021,49821,Jun,2019
San Diego,1366,307,4209,5882,Jun,2019
Tucson,1773,509,4593,6875,Jun,2019
Yuma,10915,1347,1662,13924,Jun,2019
Southwest Border Total,84486,11475,36895,132856,Jun,2019
Big Bend,154,56,418,628,Jul,2019
Del Rio,5311,420,2354,8085,Jul,2019
El Centro,303,174,2408,2885,Jul,2019
El Paso,13506,1313,4063,18882,Jul,2019
Laredo,83,196,3540,3819,Jul,2019
Rio Grande,30133,3912,9162,43207,Jul,2019
San Diego,803,200,3681,4684,Jul,2019
Tucson,1563,409,3545,5517,Jul,2019
Yuma,5502,692,1001,7195,Jul,2019
Southwest Border Total,57358,7372,30172,94902,Jul,2019
Big Bend,445,61,293,799,Aug,2019
Del Rio,4481,350,1855,6686,Aug,2019
El Centro,156,107,1951,2214,Aug,2019
El Paso,7260,765,3569,11594,Aug,2019
Laredo,137,140,2409,2686,Aug,2019
Rio Grande,25837,3287,7730,36854,Aug,2019
San Diego,519,154,2785,3458,Aug,2019
Tucson,1256,318,2555,4129,Aug,2019
Yuma,2452,372,734,3558,Aug,2019
Southwest Border Total,42543,5554,23881,71978,Aug,2019
Big Bend,464,81,377,922,Sep,2019
Del Rio,3285,268,1744,5297,Sep,2019
El Centro,137,148,2042,2327,Sep,2019
El Paso,4527,457,3094,8078,Sep,2019
Laredo,119,137,2165,2421,Sep,2019
Rio Grande,13533,1971,6851,22355,Sep,2019
San Diego,351,162,2808,3321,Sep,2019
Tucson,1394,317,2369,4080,Sep,2019
Yuma,1239,181,463,1883,Sep,2019
Southwest Border Total,25049,3722,21913,50684,Sep,2019
Big Bend,268,58,465,791,Oct,2019
Del Rio,2646,309,1621,4576,Oct,2019
El Centro,115,150,2089,2354,Oct,2019
El Paso,3527,354,2815,6696,Oct,2019
Laredo,133,190,2916,3239,Oct,2019
Rio Grande,6344,1429,5716,13489,Oct,2019
San Diego,307,159,2970,3436,Oct,2019
Tucson,1935,421,2546,4902,Oct,2019
Yuma,549,95,380,1024,Oct,2019
Southwest Border Total,15824,3165,21518,40507,Oct,2019
Big Bend,100,33,520,653,Oct,2019
Del Rio,1333,219,1646,3198,Oct,2019
El Centro,87,93,1818,1998,Oct,2019
El Paso,2122,329,2784,5235,Oct,2019
Laredo,117,216,3478,3811,Oct,2019
Rio Grande,2854,1105,5781,9740,Oct,2019
San Diego,333,129,3178,3640,Oct,2019
Tucson,2371,592,3372,6335,Oct,2019
Yum,404,125,264,793,Oct,2019
Southwest Border Total,9721,2841,22840,35402,Oct,2019
Big Bend,64,55,407,526,Nov,2019
Del Rio,1215,226,1678,3119,Nov,2019
El Centro,140,116,1655,1911,Nov,2019
El Paso,2293,462,2331,5086,Nov,2019
Laredo,90,258,3006,3354,Nov,2019
Rio Grande,2094,1209,5254,8557,Nov,2019
San Diego,388,170,3121,3679,Nov,2019
Tucson,2301,741,3472,6514,Nov,2019
Yuma,421,71,286,778,Nov,2019
Southwest Border Total,9006,3308,21210,33524,Nov,2019
Big Bend,52,46,445,543,Dec,2019
Del Rio,936,237,1830,3003,Dec,2019
El Centro,121,159,1475,1755,Dec,2019
El Paso,2259,481,2359,5099,Dec,2019
Laredo,96,242,2787,3125,Dec,2019
Rio Grande,1593,1033,5199,7825,Dec,2019
San Diego,757,208,3132,4097,Dec,2019
Tucson,2416,705,3526,6647,Dec,2019
Yuma,365,113,281,759,Dec,2019
Southwest Border Total,8595,3223,21035,32853,Dec,2019
Big Bend,34,36,534,604,Jan,2020
Del Rio,360,135,1853,2348,Jan,2020
El Centro,109,109,1481,1699,Jan,2020
El Paso,1411,425,2558,4394,Jan,2020
Laredo,96,290,3232,3618,Jan,2020
Rio Grande,839,867,4773,6479,Jan,2020
San Diego,672,173,3366,4209,Jan,2020
Tucson,1255,567,3335,5158,Jan,2020
Yuma,385,78,233,696,Jan,2020
Southwest Border Total,5161,2680,21364,29205,Jan,2020
Big Bend,6,52,504,562,Feb,2020
Del Rio,387,185,2050,2622,Feb,2020
El Centro,262,118,1640,2020,Feb,2020
El Paso,476,457,2433,3366,Feb,2020
Laredo,107,304,3535,3946,Feb,2020
Rio Grande,751,1027,4925,6703,Feb,2020
San Diego,1040,183,3449,4672,Feb,2020
Tucson,969,666,3549,5184,Feb,2020
Yuma,614,77,311,1002,Feb,2020
Southwest Border Total,4610,3070,22397,30077,Feb,2020
Big Bend,24,32,619,675,Mar,2020
Del Rio,446,164,2009,2619,Mar,2020
El Centro,76,120,1867,2063,Mar,2020
El Paso,522,445,2447,3414,Mar,2020
Laredo,63,297,3664,4024,Mar,2020
Rio Grande,724,1109,5375,7208,Mar,2020
San Diego,810,177,3717,4704,Mar,2020
Tucson,584,588,3934,5106,Mar,2020
Yuma,206,42,328,576,Mar,2020
Southwest Border Total,3455,2974,23960,30389,Mar,2020
Big Bend,3,22,482,507,Apr,2020
Del Rio,157,57,1813,2027,Apr,2020
El Centro,31,43,1184,1258,Apr,2020
El Paso,79,112,1568,1759,Apr,2020
Laredo,101,73,1817,1991,Apr,2020
Rio Grande,165,210,3084,3459,Apr,2020
San Diego,40,46,2182,2268,Apr,2020
Tucson,100,148,2367,2615,Apr,2020
Yuma,40,1,257,298,Apr,2020
Southwest Border Total,716,712,14754,16182,Apr,2020
Big Bend,2,26,600,628,Jun,2020
Del Rio,218,91,1980,2289,Jun,2020
El Centro,45,88,1747,1880,Jun,2020
El Paso,150,145,2322,2617,Jun,2020
Laredo,145,121,3089,3355,Jun,2020
Rio Grande,169,192,3337,3698,Jun,2020
San Diego,58,93,3160,3311,Jun,2020
Tucson,121,192,2757,3070,Jun,2020
Yuma,71,18,656,745,Jun,2020
Southwest Border Total,979,966,19648,21593,Jun,2020
Big Bend,12,35,613,660,Jul,2020
Del Rio,442,153,2876,3471,Jul,2020
El Centro,23,143,2607,2773,Jul,2020
El Paso,186,263,3427,3876,Jul,2020
Laredo,177,119,3744,4040,Jul,2020
Rio Grande,314,427,4673,5414,Jul,2020
San Diego,229,165,4557,4951,Jul,2020
Tucson,125,270,4308,4703,Jul,2020
Yuma,73,28,847,948,Jul,2020
Southwest Border Total,1581,1603,27652,30836,Jul,2020
Big Bend,30,41,675,746,Aug,2020
Del Rio,497,196,3470,4163,Aug,2020
El Centro,44,230,3295,3569,Aug,2020
El Paso,219,472,4400,5091,Aug,2020
Laredo,224,206,5015,5445,Aug,2020
Rio Grande,539,692,6340,7571,Aug,2020
San Diego,157,162,5237,5556,Aug,2020
Tucson,183,394,5028,5605,Aug,2020
Yuma,96,33,661,790,Aug,2020
Southwest Border Total,1989,2426,34121,38536,Aug,2020
Big Bend,26,54,1040,1120,Sep,2020
Del Rio,405,245,4479,5129,Sep,2020
El Centro,66,202,3239,3507,Sep,2020
El Paso,363,584,5613,6560,Sep,2020
Laredo,360,258,6624,7242,Sep,2020
Rio Grande,765,930,8548,10243,Sep,2020
San Diego,210,166,5656,6032,Sep,2020
Tucson,291,510,5965,6766,Sep,2020
Yuma,123,49,512,684,Sep,2020
Southwest Border Total,2609,2998,41676,47283,Sep,2020
Big Bend,29,94,1281,1404,Oct,2020
Del Rio,1307,291,4756,6354,Oct,2020
El Centro,53,186,2820,3059,Oct,2020
El Paso,475,661,6764,7900,Oct,2020
Laredo,315,257,6902,7474,Oct,2020
Rio Grande,861,1456,10992,13309,Oct,2020
San Diego,311,183,5669,6163,Oct,2020
Tucson,315,576,7482,8373,Oct,2020
Yuma,142,52,541,735,Oct,2020
Southwest Border Total,3808,3756,47207,54771,Oct,2020
Big Bend,28,80,1417,1525,Oct,2020
Del Rio,1136,405,6908,8449,Oct,2020
El Centro,18,227,3845,4090,Oct,2020
El Paso,717,666,7393,8776,Oct,2020
Laredo,368,346,8658,9372,Oct,2020
Rio Grande,1431,1822,14370,17623,Oct,2020
San Diego,290,216,6422,6928,Oct,2020
Tucson,498,860,10113,11471,Oct,2020
Yum,157,64,567,788,Oct,2020
Southwest Border Total,4643,4686,59693,69022,Oct,2020
Big Bend,49,88,1484,1621,Nov,2020
Del Rio,672,451,7590,8713,Nov,2020
El Centro,73,161,3402,3636,Nov,2020
El Paso,754,652,7339,8745,Nov,2020
Laredo,343,286,7616,8245,Nov,2020
Rio Grande,1360,1661,14281,17302,Nov,2020
San Diego,342,210,7152,7704,Nov,2020
Tucson,475,843,10868,12186,Nov,2020
Yum,172,119,699,990,Nov,2020
Southwest Border Total,4240,4471,60431,69142,Nov,2020
Big Bend,36,98,1846,1980,Dec,2020
Del Rio,637,447,8113,9197,Dec,2020
El Centro,96,123,2899,3118,Dec,2020
El Paso,987,902,9139,11028,Dec,2020
Laredo,189,273,7283,7745,Dec,2020
Rio Grande,1485,1693,14037,17215,Dec,2020
San Diego,313,330,7773,8416,Dec,2020
Tucson,441,809,9894,11144,Dec,2020
Yum,310,180,714,1204,Dec,2020
Southwest Border Total,4494,4855,61698,71047,Dec,2020
Big Bend,76,144,2449,2669,Jan,2021
Del Rio,1731,508,8834,11073,Jan,2021
El Centro,87,136,2720,2943,Jan,2021
El Paso,1163,1097,8355,10615,Jan,2021
Laredo,192,282,8157,8631,Jan,2021
Rio Grande,1927,2119,13010,17056,Jan,2021
